comments,duration,film_date,languages,main_speaker,num_speaker,published_date,speaker_occupation,title,views,Beautiful,Confusing,Courageous,Funny,Informative,Ingenious,Inspiring,Longwinded,Unconvincing,Fascinating,Jaw-dropping,Persuasive,OK,Obnoxious,Title_Length,Number_Question_marks
79,1414,1140912000,27,Cameron Sinclair,1,1153786260,"Co-founder, Architecture for Humanity",My wish: A call for open-source architecture,1211416,0.028651685393258425,0.007865168539325843,0.0949438202247191,0.010112359550561795,0.1050561797752809,0.1449438202247191,0.3415730337078652,0.019101123595505615,0.011797752808988765,0.08314606741573034,0.03707865168539326,0.0898876404494382,0.02191011235955056,0.003932584269662922,7,0
55,1538,1140912000,20,Jehane Noujaim,1,1153786260,Filmmaker,My wish: A global day of film,387877,0.11824324324324326,0.011824324324324323,0.16216216216216214,0.008445945945945945,0.055743243243243236,0.03378378378378378,0.33952702702702703,0.027027027027027032,0.02364864864864865,0.06925675675675676,0.03378378378378378,0.07094594594594594,0.04391891891891892,0.0016891891891891893,7,0
71,1550,1140652800,24,Larry Brilliant,1,1153786260,"Epidemiologist, philanthropist",My wish: Help me stop pandemics,693341,0.01805869074492099,0.002257336343115124,0.09706546275395034,0.0033860045146726857,0.21218961625282168,0.06433408577878104,0.2708803611738149,0.010158013544018058,0.0056433408577878106,0.09367945823927763,0.07900677200902935,0.1252821670428894,0.012415349887133182,0.0056433408577878106,6,0
242,527,1139184000,27,Jeff Han,1,1154391060,Human-computer interface designer,The radical promise of the multi-touch interface,4531020,0.033305278345557285,0.0022844775760490557,0.004088012504508839,0.01250450883732115,0.05542864013466394,0.1219189611638812,0.05663099675363713,0.006612961404352531,0.0038475411807142,0.11049657328363592,0.5582541781892509,0.009258145966093544,0.022604304436695925,0.0027654202236383307,7,0
99,1057,1140652800,25,Nicholas Negroponte,1,1154391060,Tech visionary,One Laptop per Child,358304,0.040973111395646605,0.007682458386683738,0.1062740076824584,0.01792573623559539,0.13316261203585147,0.11395646606914213,0.2765685019206146,0.025608194622279132,0.03969270166453265,0.08578745198463507,0.03713188220230474,0.06274007682458388,0.03841229193341869,0.014084507042253518,4,0
325,1481,1140652800,31,Sirena Huang,1,1154995860,Violinist,An 11-year-old's magical violin,2702470,0.2678313832344927,0.0016028209648982208,0.02292033979804456,0.0304535983330662,0.003526206122776086,0.0304535983330662,0.14088796281455362,0.004648180798204841,0.0024042314473473308,0.10177913127103702,0.3654431799967944,0.006571565956082707,0.0152267991665331,0.006251001763103062,4,0
305,1445,1077753600,32,Jennifer Lin,1,1154995860,"Pianist, composer","Improvising on piano, aged 14",1628912,0.2365890147467408,0.004701859371660611,0.01816627484505236,0.005129301132720667,0.006839068176960889,0.042103013464415466,0.11797392605257535,0.007480230818550974,0.011327206668091472,0.0970292797606326,0.4268005984184655,0.004701859371660611,0.014533019876041891,0.006625347296430861,5,0
88,906,1140739200,27,Amy Smith,1,1155600660,"inventor, engineer",Simple designs to save a life,1415724,0.037472035794183435,0.0039149888143176735,0.08389261744966442,0.01174496644295302,0.15604026845637586,0.17953020134228187,0.28803131991051456,0.010626398210290829,0.00727069351230425,0.08892617449664429,0.035234899328859065,0.07829977628635347,0.016778523489932886,0.0022371364653243847,6,0
163,1170,1109289600,22,Ross Lovegrove,1,1155600660,Industrial designer,"Organic design, inspired by nature",1074081,0.13412739513205593,0.04142931123770068,0.04091144484722942,0.025375453133091662,0.03676851372345935,0.0958052822371828,0.1879854997410668,0.06162610046607976,0.0585189021232522,0.11393060590367685,0.04816157431382703,0.011393060590367684,0.03521491455204557,0.10875194199896426,5,0
84,1201,1121299200,32,Jimmy Wales,1,1156119060,Founder of Wikipedia,The birth of Wikipedia,1106561,0.06619987269255251,0.008274984086569064,0.04010184595798854,0.0120942075111394,0.30426479949077023,0.10821133036282622,0.1763208147676639,0.02928071292170592,0.008911521323997454,0.11521323997453853,0.03437301082113304,0.046467218332272436,0.043284532145130485,0.007001909611712286,4,0
108,1114,1140652800,27,Richard Baraniuk,1,1156119060,Education visionary,The birth of the open-source learning revolution,966439,0.018691588785046728,0.006796941376380629,0.044180118946474084,0.010195412064570943,0.27187765505522515,0.0994052676295667,0.21920135938827529,0.02548853016142736,0.022090059473237042,0.09430756159728122,0.022090059473237042,0.10195412064570944,0.05862361937128292,0.005097706032285472,7,0
185,1136,1077580800,26,Ze Frank,1,1156464660,"Humorist, web artist",Nerdcore comedy,6141440,0.014329976762199844,0.039310611928737416,0.014523625096824169,0.5420216886134779,0.011812548412083656,0.0749419054996127,0.03795507358636716,0.05151045701006971,0.026529821843532145,0.03427575522850503,0.01549186676994578,0.003872966692486445,0.08714175058094502,0.046281951975213016,2,0
50,1006,1140652800,20,Mena Trott,1,1156464660,"Blogger; cofounder, Six Apart",Meet the founder of the blog revolution,518624,0.06887755102040816,0.051020408163265314,0.04209183673469388,0.13520408163265307,0.10459183673469387,0.011479591836734694,0.1096938775510204,0.15178571428571427,0.08545918367346939,0.04336734693877551,0.003826530612244898,0.02933673469387755,0.11096938775510204,0.052295918367346934,7,0
556,1407,1140739200,33,Helen Fisher,1,1157501460,"Anthropologist, expert on love","Why we love, why we cheat",9260764,0.08014842300556586,0.010667903525046384,0.016419294990723563,0.07235621521335807,0.2403525046382189,0.03200371057513915,0.10046382189239332,0.022727272727272728,0.023098330241187383,0.1953617810760668,0.019202226345083492,0.1403525046382189,0.03654916512059369,0.010296846011131726,6,0
117,1225,1075852800,23,Eve Ensler,1,1157501460,"Playwright, activist",Happiness in body and soul,1131864,0.1330739299610895,0.005058365758754864,0.2544747081712062,0.042412451361867706,0.05992217898832685,0.017120622568093387,0.3070038910505837,0.012062256809338522,0.010505836575875487,0.05603112840466926,0.0377431906614786,0.0377431906614786,0.010116731517509728,0.016731517509727626,5,0
184,1140,1121299200,29,David Deutsch,1,1158019860,Quantum physicist,Chemical scum that dream of distant quasars,1096862,0.025677200902934537,0.0118510158013544,0.025959367945823927,0.03696388261851016,0.12584650112866816,0.07590293453724603,0.11202031602708803,0.012697516930022574,0.013826185101580136,0.14531602708803612,0.03922121896162528,0.3481941309255079,0.02059819413092551,0.0059255079006772,7,0
507,1316,1120694400,36,Richard Dawkins,1,1158019860,Evolutionary biologist,Why the universe seems so strange,2885999,0.07248585111014366,0.00914235959947758,0.02437962559860688,0.027644754026991732,0.14214192424902047,0.09077057030909882,0.14671310404875926,0.019808445798868087,0.008924684370918591,0.27884196778406617,0.07052677405311275,0.07988680888114932,0.020243796255986067,0.00848933391380061,6,0
95,1275,1077840000,25,Steven Levitt,1,1158624660,Economist,The freakonomics of crack dealing,2863214,0.005893909626719057,0.00343811394891945,0.04567779960707269,0.2382121807465619,0.26129666011787817,0.08595284872298625,0.02111984282907662,0.01719056974459725,0.009332023575638507,0.19842829076620824,0.029960707269155205,0.05353634577603143,0.021611001964636545,0.008349705304518664,5,0
355,1050,1077753600,37,Malcolm Gladwell,1,1158624660,Writer,"Choice, happiness and spaghetti sauce",7023562,0.031185615283761008,0.0074920397078104516,0.008147593182243866,0.1562090279078479,0.1876755946806518,0.10554410938377973,0.1194980333395767,0.017793594306049824,0.010769807079977524,0.19498033339576698,0.02715864394081289,0.09496160329649747,0.033807829181494664,0.004776175313729163,5,0
970,1276,1075680000,43,Dan Gilbert,1,1159229460,Psychologist; happiness expert,The surprising science of happiness,14689301,0.02238580215791066,0.012150852072199255,0.012503781385499645,0.08712312191186851,0.19658162750831906,0.0587879399011798,0.17918725420994253,0.008520721992538066,0.008772814359181204,0.2169506907330846,0.052788141575073104,0.11873550468891805,0.022133709791267518,0.00337803771301805,5,0
991,1177,1121385600,45,Barry Schwartz,1,1159229460,Psychologist,The paradox of choice,10000702,0.018534626965540316,0.003613248578119773,0.026764804282368684,0.10210772833723654,0.16942121110739378,0.08036132485781197,0.16239544998327202,0.011910337905654066,0.02167949146871864,0.166677818668451,0.03486115757778521,0.16580796252927402,0.028169956507193037,0.007694881231180997,4,0
213,1129,1109376000,26,Eva Vertes,1,1159747860,Neuroscience and cancer researcher,Meet the future of cancer research,1030267,0.03283437952679865,0.014485755673587638,0.08256880733944955,0.0062771607918879774,0.1337518107194592,0.13471752776436505,0.18203766296475127,0.04056011588604539,0.01834862385321101,0.17189763399323998,0.07339449541284404,0.044905842588121685,0.036214389183969097,0.02800579430226944,6,0
612,1365,1121299200,29,Aubrey de Grey,1,1159747860,Crusader against aging,A roadmap to end aging,3277740,0.011852662290299052,0.037563822027716985,0.0638220277169949,0.039204959883296864,0.0977388767323122,0.05415754923413567,0.09445660102115244,0.039204959883296864,0.0563457330415755,0.14806710430342815,0.06145149525893509,0.24781181619256015,0.02644055433989789,0.02188183807439825,5,0
74,952,1121212800,21,Iqbal Quadir,1,1160439060,"Founder, GrameenPhone",How mobile phones can fight poverty,503517,0.0084985835694051,0.015580736543909348,0.07790368271954674,0.00141643059490085,0.21671388101983,0.15864022662889518,0.23229461756373934,0.0226628895184136,0.0113314447592068,0.08640226628895184,0.025495750708215296,0.09348441926345608,0.0453257790368272,0.00424929178470255,6,0
58,773,1120176000,26,Jacqueline Novogratz,1,1160439060,Investor and advocate for moral leadership,Invest in Africa's own solutions,705389,0.07947019867549669,0.0052980132450331134,0.07019867549668875,0.006622516556291391,0.1827814569536424,0.039735099337748346,0.3443708609271523,0.006622516556291391,0.02119205298013245,0.08211920529801324,0.007947019867549669,0.1218543046357616,0.02781456953642384,0.003973509933774834,5,0
43,1080,1121299200,21,Sasa Vucinic,1,1161130260,Nonprofit venture capitalist,Why we should invest in a free press,580891,0.02528735632183908,0.02528735632183908,0.12183908045977013,0.002298850574712644,0.23218390804597705,0.09655172413793103,0.1632183908045977,0.07126436781609195,0.009195402298850576,0.06206896551724138,0.006896551724137931,0.11724137931034485,0.057471264367816084,0.009195402298850576,8,0
67,1125,1121126400,24,Ashraf Ghani,1,1161130260,President-elect of Afghanistan,How to rebuild a broken state,809226,0.05381165919282512,0.028026905829596414,0.15582959641255606,0.010089686098654708,0.24439461883408076,0.034753363228699555,0.1266816143497758,0.023542600896860985,0.03923766816143498,0.04932735426008968,0.03923766816143498,0.12556053811659193,0.05717488789237667,0.01233183856502242,6,0
186,1177,1140739200,28,Burt Rutan,1,1161735060,Aircraft engineer,The real future of space exploration,2028451,0.01484413656605641,0.011380504700643246,0.08312716476991587,0.031172686788718457,0.16625432953983174,0.0425531914893617,0.2464126669965364,0.034636318654131616,0.03809995051954478,0.12221672439386445,0.031172686788718457,0.09797130133597227,0.05690252350321622,0.02325581395348837,6,0
57,1083,1109203200,26,Ben Saunders,1,1161735060,Arctic explorer,Why did I ski to the North Pole?,745231,0.04343534057255676,0.0009871668311944716,0.2704837117472853,0.07897334649555775,0.04343534057255676,0.006910167818361303,0.2843040473840079,0.009871668311944718,0.01776900296150049,0.12240868706811453,0.07305034550839093,0.02171767028627838,0.01974333662388944,0.006910167818361303,8,0
112,1672,1109203200,24,Bono,1,1162253460,"Musician, activist",My wish: Three actions for Africa,718649,0.07017543859649122,0.01238390092879257,0.10732714138286893,0.026831785345717236,0.0825593395252838,0.022703818369453045,0.303405572755418,0.04231166150670795,0.030959752321981424,0.05263157894736842,0.04024767801857585,0.14963880288957687,0.02476780185758514,0.034055727554179564,6,0
58,2065,1108598400,22,Edward Burtynsky,1,1162253460,Photographer,My wish: Manufactured landscapes and green education,975107,0.11134453781512606,0.011554621848739495,0.0546218487394958,0.008403361344537815,0.19327731092436976,0.02100840336134454,0.16596638655462184,0.060924369747899165,0.01050420168067227,0.1565126050420168,0.09978991596638656,0.06722689075630252,0.028361344537815126,0.01050420168067227,7,0
33,1609,1109203200,20,Robert Fischell,1,1162253460,Biomedical inventor,My wish: Three unusual medical inventions,382996,0.012024048096192385,0.008016032064128256,0.02204408817635271,0.002004008016032064,0.23046092184368736,0.25250501002004005,0.09619238476953908,0.03607214428857716,0.04008016032064128,0.14829659318637275,0.03607214428857716,0.05410821643286573,0.046092184368737465,0.016032064128256508,6,0
105,1280,1121299200,20,Peter Donnelly,1,1162944660,Mathematician; statistician,How juries are fooled by statistics,1053758,0.0058690744920993215,0.030248306997742662,0.0067720090293453715,0.04650112866817156,0.381038374717833,0.04785553047404063,0.03927765237020316,0.04424379232505643,0.0009029345372460496,0.16117381489841984,0.03295711060948081,0.16433408577878106,0.033860045146726865,0.0049661399548532725,6,0
494,805,1140652800,41,Michael Shermer,1,1162944660,Skeptic,Why people believe weird things,5364639,0.015551743853630647,0.005831903945111492,0.012464265294453974,0.31457975986277875,0.15368782161234992,0.058204688393367635,0.04265294453973699,0.004230989136649514,0.01726700971983991,0.09136649514008004,0.015208690680388794,0.2238993710691824,0.027101200686106348,0.017953116066323615,5,1
233,1376,1109203200,22,Ray Kurzweil,1,1163463060,"Inventor, futurist",The accelerating power of technology,2434344,0.016707168894289186,0.02764277035236938,0.018529769137302556,0.0054678007290400975,0.2448359659781288,0.06287970838396112,0.117861482381531,0.04556500607533415,0.03371810449574727,0.20990279465370595,0.09386391251518833,0.07199270959902794,0.042831105710814096,0.008201701093560144,5,0
149,1200,1109203200,26,Kevin Kelly,1,1163463060,Digital visionary,How technology evolves,1536873,0.01866475233309404,0.0312275664034458,0.012203876525484566,0.003948312993539124,0.09655419956927494,0.06891600861450108,0.10014357501794688,0.05276381909547738,0.048815506101938265,0.11162957645369706,0.017587939698492462,0.3890882986360373,0.03984206748025843,0.008614501076812634,3,1
52,848,1140652800,24,Peter Gabriel,1,1165363860,"Musician, activist",Fight injustice with raw video,904215,0.0270906949352179,0.009422850412249705,0.2120141342756184,0.005889281507656065,0.1707891637220259,0.04240282685512368,0.2614840989399293,0.02944640753828033,0.016489988221436984,0.03180212014134275,0.038869257950530034,0.10836277974087162,0.04240282685512368,0.00353356890459364,5,0
578,210,1109116800,66,Richard St. John,1,1166055060,"Marketer, success analyst",8 secrets of success,10841210,0.03836674881769134,0.002864184373542929,0.030440285086258574,0.19756211283554254,0.12735629121428094,0.04249650303070672,0.3315792979417838,0.0017984413508292812,0.014187703989875441,0.05175514554053154,0.016718843668820357,0.09545060947179113,0.04562712315992806,0.003796709518417372,4,3
95,247,1164844800,34,Rives,1,1166055060,"Performance poet, multimedia artist",If I controlled the Internet,1813665,0.15402038505096266,0.01698754246885617,0.016610041525103814,0.35824839562098904,0.007927519818799545,0.1423178557946395,0.07361268403171008,0.015477538693846734,0.021140052850132124,0.07021517553793885,0.03548508871272178,0.009437523593808984,0.05096262740656852,0.02755756889392224,5,1
199,198,1140652800,48,Dean Ornish,1,1166055060,"Physician, author",The killer American diet that's sweeping the planet,2299265,0.004581901489117984,0.01603665521191294,0.017754868270332187,0.030927835051546393,0.4289805269186712,0.017754868270332187,0.08648339060710195,0.004581901489117984,0.03493699885452463,0.04868270332187858,0.035509736540664374,0.18957617411225655,0.07617411225658649,0.00801832760595647,8,0
85,843,1121299200,22,Robert Neuwirth,1,1167696660,Author,The hidden world of shadow cities,673036,0.017928286852589643,0.035856573705179286,0.044820717131474105,0.0029880478087649398,0.2639442231075697,0.02091633466135458,0.10458167330677293,0.0697211155378486,0.09661354581673308,0.1294820717131474,0.03187250996015936,0.07270916334661355,0.061752988047808766,0.046812749003984064,6,0
499,1001,1107302400,32,Bjorn Lomborg,1,1167696660,Global prioritizer,Global priorities bigger than climate change,1391142,0.00381952733349248,0.015039388875626641,0.06755788971114825,0.00381952733349248,0.13105753163046074,0.03318214370971592,0.0668417283361184,0.018858916209119118,0.12819288613034138,0.040343757460014326,0.01599427070899976,0.3981857245165911,0.02649797087610408,0.05060873716877536,6,1
371,1321,1044230400,36,Wade Davis,1,1168301460,"Anthropologist, ethnobotanist",Dreams from endangered cultures,2532851,0.1219934994582882,0.0052004333694474535,0.041603466955579635,0.014734561213434453,0.15124593716143012,0.029469122426868905,0.21018418201516792,0.011917659804983749,0.011700975081256771,0.20108342361863488,0.08234019501625135,0.09230769230769233,0.01625135427952329,0.009967497291440952,4,0
59,1115,1140652800,29,Phil Borges,1,1168301460,Photographer,Photos of endangered cultures,882034,0.17524339360222532,0.019471488178025038,0.08484005563282336,0.006954102920723227,0.16133518776077885,0.022253129346314324,0.21835883171070933,0.04172461752433936,0.03477051460361613,0.1223922114047288,0.023643949930458968,0.0458970792767733,0.03337969401947149,0.009735744089012515,4,0
203,1046,1121299200,29,Martin Rees,1,1168992660,Astrophysicist,Is this our final century?,2121177,0.07237064592492391,0.009130875887724044,0.021305377071356102,0.015894487656408524,0.2052756171795739,0.04463983767331755,0.15556307067974298,0.0368616841393304,0.020290835306053436,0.24923909367602295,0.0395671288468042,0.0635779506256341,0.05918160297598918,0.007101792357118702,5,0
130,1151,1138838400,23,Robert Wright,1,1168992660,"Journalist, philosopher",Progress is not a zero-sum game,1090180,0.014031805425631429,0.025724976613657625,0.06548175865294667,0.1599625818521983,0.11739943872778298,0.05659494855004678,0.16043030869971936,0.04770813844714687,0.050046772684752105,0.07811038353601497,0.010757717492984098,0.13470533208606175,0.06033676333021516,0.018709073900841908,6,0
47,603,1164844800,29,Steven Johnson,1,1170202260,Writer,"How the ""ghost map"" helped end a killer disease",684519,0.014161220043572984,0.005446623093681918,0.010893246187363837,0.02178649237472767,0.4183006535947713,0.02832244008714597,0.10239651416122003,0.00980392156862745,0.005446623093681918,0.21895424836601307,0.01198257080610022,0.0784313725490196,0.0718954248366013,0.002178649237472767,9,0
91,1141,1121299200,24,Charles Leadbeater,1,1170202260,Innovation consultant,The era of open innovation,1409327,0.020395156150414283,0.006373486297004461,0.018483110261312937,0.007010834926704908,0.2262587635436584,0.07393244104525175,0.26003824091778205,0.023581899298916503,0.010197578075207138,0.12746972594008926,0.022944550669216062,0.1586998087954111,0.04270235818992989,0.0019120458891013386,5,0
222,825,1109289600,0,Pilobolus,1,1170979860,Dance company,"A dance of ""Symbiosis""",3051507,0.2985320798284677,0.008741547088899885,0.023420748804222333,0.0034636318654131613,0.002968827313211281,0.06927263730826322,0.08659079663532905,0.009566221342569684,0.003628566716147122,0.13953488372093026,0.3316839848259937,0.005607784924954643,0.013359722909450769,0.003628566716147122,4,2
111,1385,1109289600,19,Anna Deavere Smith,1,1170979860,"Actor, playwright, social critic",Four American characters,978825,0.12618724559023067,0.021031207598371782,0.121438263229308,0.1010854816824966,0.045454545454545456,0.10244233378561736,0.14111261872455902,0.00949796472184532,0.00474898236092266,0.1519674355495251,0.09905020352781546,0.02442333785617368,0.025101763907734057,0.026458616010854814,3,0
28,869,1140652800,18,Saul Griffith,1,1171843860,Inventor,Everyday inventions,442553,0.007005253940455342,0.1646234676007005,0.007005253940455342,0.005253940455341506,0.17162872154115585,0.15586690017513136,0.0840630472854641,0.0542907180385289,0.03852889667250438,0.14711033274956214,0.04028021015761821,0.021015761821366025,0.09281961471103327,0.010507880910683012,2,0
64,1038,1138838400,17,Neil Gershenfeld,1,1171843860,"Physicist, personal fab pioneer",Unleash your creativity in a Fab Lab,691814,0.028047464940668825,0.0593311758360302,0.009708737864077669,0.011866235167206042,0.1197411003236246,0.16828478964401294,0.20280474649406688,0.022653721682847898,0.012944983818770229,0.1855447680690399,0.11326860841423947,0.0453074433656958,0.010787486515641856,0.009708737864077669,7,0
226,1155,1120694400,30,Carl Honoré,1,1172621460,Journalist,In praise of slowness,2441805,0.08682385575589459,0.008321775312066574,0.044105409153952835,0.05520110957004161,0.11400832177531205,0.02579750346740638,0.3495145631067961,0.020249653259362,0.014701803051317613,0.06712898751733704,0.009708737864077669,0.15950069348127602,0.0391123439667129,0.005825242718446602,4,0
97,1447,1173312000,26,Bill Clinton,1,1175559060,Activist,My wish: Rebuilding Rwanda,849859,0.03807106598984772,0.005922165820642978,0.08629441624365483,0.009306260575296108,0.17597292724196278,0.03130287648054145,0.311336717428088,0.03807106598984772,0.0194585448392555,0.0727580372250423,0.02707275803722504,0.1353637901861252,0.03976311336717428,0.009306260575296108,4,0
89,1355,1173312000,26,E.O. Wilson,1,1175559060,Biologist,My wish: Build the Encyclopedia of Life,1335732,0.0961648540354894,0.011448196908986834,0.04235832856325129,0.02518603319977104,0.20206067544361764,0.034344590726960514,0.2306811677160847,0.040641099026903264,0.009730967372638807,0.13108185460789926,0.045220377790498,0.10188895248998282,0.02633085289066972,0.002862049227246709,7,0
107,1316,1173312000,23,James Nachtwey,1,1175559060,Photojournalist,My wish: Let my photographs bear witness,1262674,0.053231939163498096,0.006337135614702154,0.2691170257710181,0.0012674271229404306,0.0988593155893536,0.010561892691170258,0.2425010561892691,0.01140684410646388,0.010139416983523449,0.08365019011406842,0.12505280946345584,0.07224334600760456,0.010139416983523449,0.005492184199408535,7,0
161,1645,1014940800,31,Jane Goodall,1,1175731860,Primatologist; environmentalist,What separates us from chimpanzees?,1663001,0.1389413988657845,0.008821676118462508,0.09105229993698803,0.011342155009451795,0.1219281663516068,0.011027095148078135,0.297416509136736,0.022054190296156267,0.00945179584120983,0.13610586011342155,0.033711405166981734,0.08979206049149338,0.01984877126654064,0.008506616257088847,5,0
220,1021,1046304000,31,Seth Godin,1,1175731860,Marketer and author,How to get your ideas to spread,5570544,0.01808146174343357,0.004377617053673392,0.017320137038446898,0.14940997335363532,0.1897601827179292,0.08450704225352113,0.197944423296536,0.008755234107346783,0.011229539398553484,0.10867910163684813,0.019033117624666918,0.15435858393604873,0.03007232584697373,0.0064712599923867535,7,0
114,1211,1107302400,28,James Watson,1,1175731860,"Biologist, Nobel laureate",How we discovered DNA,1520908,0.052935010482180286,0.01781970649895178,0.020440251572327043,0.16037735849056606,0.18867924528301888,0.05555555555555555,0.12054507337526205,0.02830188679245283,0.09643605870020963,0.15618448637316562,0.02830188679245283,0.01519916142557652,0.034591194968553465,0.024633123689727462,4,0
88,873,1077753600,31,Al Seckel,1,1175731860,Master of visual illusions,Visual illusions that show how we (mis)think,2138907,0.05444555444555445,0.03996003996003996,0.000999000999000999,0.15934065934065933,0.08641358641358643,0.11038961038961037,0.030969030969030968,0.06143856143856144,0.05094905094905095,0.18331668331668333,0.046453546453546456,0.015984015984015984,0.14185814185814186,0.017482517482517484,7,0
130,1207,1012608000,18,Dean Kamen,1,1175731860,Inventor,To invent is to give,680134,0.02958579881656805,0.02071005917159764,0.028106508875739646,0.022189349112426038,0.13165680473372782,0.17899408284023668,0.17159763313609466,0.07248520710059171,0.05029585798816568,0.10059171597633136,0.05029585798816568,0.09319526627218937,0.02514792899408284,0.02514792899408284,5,0
49,1340,1044144000,20,Juan Enriquez,1,1175731860,Futurist,The life code that will reshape the future,690928,0.019650655021834062,0.005094614264919942,0.016739446870451237,0.025473071324599708,0.2321688500727802,0.06477438136826782,0.12809315866084425,0.013828238719068414,0.013828238719068414,0.22561863173216884,0.13173216885007275,0.09679767103347887,0.015283842794759825,0.010917030567685587,8,0
86,930,1075680000,26,Stefan Sagmeister,1,1175731860,Graphic designer,Happiness by design,1762302,0.08995502248875563,0.015492253873063468,0.025987006496751626,0.23388305847076465,0.04997501249375312,0.07946026986506746,0.2708645677161419,0.03398300849575212,0.03498250874562719,0.06896551724137931,0.011494252873563218,0.01649175412293853,0.06146926536731634,0.006996501749125438,3,0
107,1054,1120694400,32,Alex Steffen,1,1175731860,Planetary futurist,The route to a sustainable future,1392010,0.05984440454817475,0.008976660682226212,0.0466786355475763,0.007181328545780971,0.18731298623578696,0.05804907241172951,0.3099940155595452,0.018551765409934168,0.017953321364452424,0.0945541591861161,0.04308797127468582,0.10412926391382406,0.0353081986834231,0.008378216636744464,6,0
50,1240,1109289600,16,Thom Mayne,1,1175731860,Architect,How architecture can connect us,660909,0.04316546762589928,0.12410071942446045,0.019784172661870502,0.012589928057553957,0.10611510791366907,0.07553956834532374,0.16366906474820145,0.10971223021582734,0.1079136690647482,0.09532374100719423,0.02697841726618705,0.0035971223021582736,0.07913669064748201,0.03237410071942446,5,0
